"","gene_id","gene_name","seq_name","gene_biotype","description"
"47","ENSDARG00000103783","cyyr1","1","protein_coding","cysteine/tyrosine-rich 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2356]"
"48","ENSDARG00000103519","ADAMTS1","1","protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]"
"49","ENSDARG00000100307","adamts5","1","protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:NCBI gene (formerly Entrezgene);Acc:565053]"
"50","ENSDARG00000101089","gart","1","protein_coding","phosphoribosylglycinamide formyltransferase [Source:ZFIN;Acc:ZDB-GENE-000616-14]"
"51","ENSDARG00000115421","n6amt1","1","protein_coding","N-6 adenine-specific DNA methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040718-206]"
"52","ENSDARG00000115673","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"53","ENSDARG00000116514","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"54","ENSDARG00000103469","","1","processed_transcript","NULL"
"55","ENSDARG00000117321","","1","lincRNA","NULL"
"56","ENSDARG00000087646","runx1","1","protein_coding","RUNX family transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-000605-1]"
"57","ENSDARG00000080051","mir459","1","miRNA","microRNA 459 [Source:ZFIN;Acc:ZDB-MIRNAG-090929-286]"
"58","ENSDARG00000067781","urp2","1","protein_coding","urotensin II-related peptide [Source:ZFIN;Acc:ZDB-GENE-110718-3]"
"59","ENSDARG00000099108","","1","protein_coding","NULL"
"60","ENSDARG00000001870","atp1a1a.4","1","protein_coding","ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]"
"61","ENSDARG00000002791","atp1a1a.1","1","protein_coding","ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-001212-1]"
"62","ENSDARG00000007739","atp1a1a.2","1","protein_coding","ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-001212-2]"
"63","ENSDARG00000039131","atp1a1a.3","1","protein_coding","ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-001212-3]"
"64","ENSDARG00000040252","atp1a1a.5","1","protein_coding","ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 5 [Source:ZFIN;Acc:ZDB-GENE-020501-1]"
"65","ENSDARG00000089477","","1","protein_coding","NULL"
"67","ENSDARG00000093102","","1","protein_coding","NULL"
"68","ENSDARG00000095102","","1","protein_coding","NULL"
"69","ENSDARG00000040250","","1","protein_coding","NULL"
"70","ENSDARG00000075505","","1","protein_coding","NULL"
"71","ENSDARG00000010376","slc5a3a","1","protein_coding","solute carrier family 5 member 3a [Source:ZFIN;Acc:ZDB-GENE-090312-3]"
"72","ENSDARG00000033684","oxgr1a.1","1","protein_coding","oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060421-6734]"
"73","ENSDARG00000040247","oxgr1a.3","1","protein_coding","oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-090312-23]"
"74","ENSDARG00000078743","oxgr1a.2","1","protein_coding","oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-090312-1]"
"75","ENSDARG00000018460","mbnl2","1","protein_coding","muscleblind-like splicing regulator 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9582]"
"76","ENSDARG00000040246","rap2ab","1","protein_coding","RAP2A, member of RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-090312-116]"
"77","ENSDARG00000040245","kpnb3","1","protein_coding","karyopherin (importin) beta 3 [Source:ZFIN;Acc:ZDB-GENE-030424-2]"
"78","ENSDARG00000082290","","1","snoRNA","NULL"
"79","ENSDARG00000074381","FARP1","1","protein_coding","FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]"
"80","ENSDARG00000095179","","1","protein_coding","NULL"
"81","ENSDARG00000084484","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"82","ENSDARG00000070579","ggact.3","1","protein_coding","gamma-glutamylamine cyclotransferase, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-070424-26]"
"83","ENSDARG00000038248","ggact.2","1","protein_coding","gamma-glutamylamine cyclotransferase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040912-8]"
"84","ENSDARG00000070581","ggact.1","1","protein_coding","gamma-glutamylamine cyclotransferase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-061103-94]"
"85","ENSDARG00000096559","","1","antisense","NULL"
"86","ENSDARG00000103156","gpc6a","1","protein_coding","glypican 6a [Source:ZFIN;Acc:ZDB-GENE-071004-15]"
"87","ENSDARG00000103647","gpc5a","1","protein_coding","glypican 5a [Source:ZFIN;Acc:ZDB-GENE-140106-260]"
"88","ENSDARG00000104805","mir92a-1","1","miRNA","microRNA 92a-1 [Source:ZFIN;Acc:ZDB-MIRNAG-090929-101]"
"89","ENSDARG00000100273","dre-mir-19b","1","miRNA","microRNA 19b [Source:ZFIN;Acc:ZDB-MIRNAG-080926-2]"
"90","ENSDARG00000104910","dre-mir-20a","1","miRNA","microRNA 20a [Source:ZFIN;Acc:ZDB-MIRNAG-050103-7]"
"91","ENSDARG00000099103","dre-mir-19a","1","miRNA","microRNA 19a [Source:ZFIN;Acc:ZDB-MIRNAG-050103-6]"
"92","ENSDARG00000098078","mir18a","1","miRNA","microRNA 18a [Source:ZFIN;Acc:ZDB-MIRNAG-081208-17]"
"93","ENSDARG00000104155","mir17a-1","1","miRNA","microRNA 17a-1 [Source:ZFIN;Acc:ZDB-MIRNAG-050609-18]"
"94","ENSDARG00000117575","","1","lincRNA","NULL"
"95","ENSDARG00000088916","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"96","ENSDARG00000098769","slitrk6","1","protein_coding","SLIT and NTRK-like family, member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-2816]"
"97","ENSDARG00000104115","5_8S_rRNA","1","rRNA","5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]"
"98","ENSDARG00000102013","","1","lincRNA","NULL"
"99","ENSDARG00000117775","","1","lincRNA","NULL"
"100","ENSDARG00000082581","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"101","ENSDARG00000078308","spry2","1","protein_coding","sprouty RTK signaling antagonist 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7038]"
"102","ENSDARG00000033928","ndfip2","1","protein_coding","Nedd4 family interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2662]"
"103","ENSDARG00000031164","tuba8l2","1","protein_coding","tubulin, alpha 8 like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1646]"
"104","ENSDARG00000037777","stk16","1","protein_coding","serine/threonine kinase 16 [Source:ZFIN;Acc:ZDB-GENE-050417-102]"
"105","ENSDARG00000016706","atic","1","protein_coding","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:ZFIN;Acc:ZDB-GENE-011212-4]"
"106","ENSDARG00000030350","mnx2b","1","protein_coding","motor neuron and pancreas homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-040415-2]"
"107","ENSDARG00000006526","fn1b","1","protein_coding","fibronectin 1b [Source:ZFIN;Acc:ZDB-GENE-030131-6545]"
"108","ENSDARG00000077688","cpo","1","protein_coding","carboxypeptidase O [Source:NCBI gene (formerly Entrezgene);Acc:100005630]"
"109","ENSDARG00000096546","nrp2a","1","protein_coding","neuropilin 2a [Source:ZFIN;Acc:ZDB-GENE-040611-2]"
"110","ENSDARG00000092671","pard3ba","1","protein_coding","par-3 family cell polarity regulator beta a [Source:ZFIN;Acc:ZDB-GENE-080225-12]"
"111","ENSDARG00000113935","","1","protein_coding","NULL"
"112","ENSDARG00000063297","abcb6a","1","protein_coding","ATP-binding cassette, sub-family B (MDR/TAP), member 6a [Source:ZFIN;Acc:ZDB-GENE-050517-9]"
"113","ENSDARG00000027078","cnppd1","1","protein_coding","cyclin Pas1/PHO80 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6808]"
"114","ENSDARG00000017537","","1","protein_coding","NULL"
"115","ENSDARG00000063270","retreg2","1","protein_coding","reticulophagy regulator family member 2 [Source:ZFIN;Acc:ZDB-GENE-061215-128]"
"116","ENSDARG00000018008","mdh1b","1","protein_coding","malate dehydrogenase 1B, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-060929-384]"
"117","ENSDARG00000074031","","1","protein_coding","NULL"
"118","ENSDARG00000043247","gtf3c3","1","protein_coding","general transcription factor IIIC, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-040914-80]"
"119","ENSDARG00000113848","","1","protein_coding","NULL"
"120","ENSDARG00000063253","","1","protein_coding","NULL"
"121","ENSDARG00000073857","klf7a","1","protein_coding","Kruppel like factor 7a [Source:ZFIN;Acc:ZDB-GENE-050522-276]"
"122","ENSDARG00000107682","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"123","ENSDARG00000070558","si:ch211-93g23.2","1","protein_coding","si:ch211-93g23.2 [Source:ZFIN;Acc:ZDB-GENE-090312-164]"
"124","ENSDARG00000025754","ube2f","1","protein_coding","ubiquitin-conjugating enzyme E2F (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-2557]"
"125","ENSDARG00000096530","","1","lincRNA","NULL"
"126","ENSDARG00000116636","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"127","ENSDARG00000063207","erbb4a","1","protein_coding","erb-b2 receptor tyrosine kinase 4a [Source:ZFIN;Acc:ZDB-GENE-030918-4]"
"128","ENSDARG00000095087","","1","processed_transcript","NULL"
"129","ENSDARG00000096610","","1","processed_transcript","NULL"
"130","ENSDARG00000117465","","1","lincRNA","NULL"
"131","ENSDARG00000102217","U6","1","snRNA","U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]"
"132","ENSDARG00000090408","","1","protein_coding","NULL"
"133","ENSDARG00000013741","lancl1","1","protein_coding","LanC antibiotic synthetase component C-like 1 (bacterial) [Source:ZFIN;Acc:ZDB-GENE-040924-1]"
"134","ENSDARG00000017441","mylz3","1","protein_coding","myosin, light polypeptide 3, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-6]"
"135","ENSDARG00000037713","pcnp","1","protein_coding","PEST proteolytic signal containing nuclear protein [Source:ZFIN;Acc:ZDB-GENE-041010-130]"
"136","ENSDARG00000021688","mxa","1","protein_coding","myxovirus (influenza) resistance A [Source:ZFIN;Acc:ZDB-GENE-030721-5]"
"137","ENSDARG00000004953","mxb","1","protein_coding","myxovirus (influenza) resistance B [Source:ZFIN;Acc:ZDB-GENE-030721-6]"
"138","ENSDARG00000074050","efnb2b","1","protein_coding","ephrin-B2b [Source:ZFIN;Acc:ZDB-GENE-010618-1]"
"139","ENSDARG00000018319","arglu1b","1","protein_coding","arginine and glutamate rich 1b [Source:NCBI gene (formerly Entrezgene);Acc:393131]"
"140","ENSDARG00000098730","en1b","1","protein_coding","engrailed homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-980526-6]"
"141","ENSDARG00000096630","","1","lincRNA","NULL"
"142","ENSDARG00000117359","","1","lincRNA","NULL"
"143","ENSDARG00000106375","5S_rRNA","1","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"144","ENSDARG00000079779","radil","1","protein_coding","Ras association and DIL domains [Source:ZFIN;Acc:ZDB-GENE-071206-1]"
"145","ENSDARG00000089090","MMD2","1","protein_coding","monocyte to macrophage differentiation associated 2 [Source:HGNC Symbol;Acc:HGNC:30133]"
"146","ENSDARG00000109652","","1","snoRNA","NULL"
"147","ENSDARG00000115102","","1","snoRNA","NULL"
"148","ENSDARG00000115288","","1","snoRNA","NULL"
"149","ENSDARG00000093857","","1","protein_coding","NULL"
"150","ENSDARG00000095309","","1","protein_coding","NULL"
"151","ENSDARG00000095673","ifi44a6","1","protein_coding","interferon induced protein 44a6 [Source:NCBI gene (formerly Entrezgene);Acc:326081]"
"152","ENSDARG00000099359","","1","protein_coding","NULL"
"153","ENSDARG00000092361","","1","protein_coding","NULL"
"154","ENSDARG00000103767","","1","protein_coding","NULL"
"155","ENSDARG00000075791","","1","protein_coding","NULL"
"156","ENSDARG00000107486","","1","protein_coding","NULL"
"157","ENSDARG00000029720","","1","protein_coding","NULL"
"158","ENSDARG00000100166","","1","protein_coding","NULL"
"159","ENSDARG00000074212","SLC5A10","1","protein_coding","solute carrier family 5 member 10 [Source:HGNC Symbol;Acc:HGNC:23155]"
"160","ENSDARG00000062929","FAM83G","1","protein_coding","family with sequence similarity 83 member G [Source:HGNC Symbol;Acc:HGNC:32554]"
"161","ENSDARG00000022668","grapb","1","protein_coding","GRB2 related adaptor protein b [Source:ZFIN;Acc:ZDB-GENE-050913-4]"
"162","ENSDARG00000099708","CACNA1H","1","protein_coding","calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]"
"163","ENSDARG00000025034","syngr3b","1","protein_coding","synaptogyrin 3b [Source:ZFIN;Acc:ZDB-GENE-070822-6]"
"164","ENSDARG00000078474","MYO15A","1","protein_coding","myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]"
"165","ENSDARG00000096583","","1","antisense","NULL"
"166","ENSDARG00000063003","alkbh5","1","protein_coding","alkB homolog 5, RNA demethylase [Source:NCBI gene (formerly Entrezgene);Acc:570158]"
"167","ENSDARG00000002377","mief2","1","protein_coding","mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]"
"168","ENSDARG00000015803","smcr8b","1","protein_coding","Smith-Magenis syndrome chromosome region, candidate 8b [Source:NCBI gene (formerly Entrezgene);Acc:407723]"
"169","ENSDARG00000037739","zgc:112980","1","protein_coding","zgc:112980 [Source:ZFIN;Acc:ZDB-GENE-050306-1]"
"170","ENSDARG00000076176","PTCD1","1","protein_coding","pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:22198]"
"171","ENSDARG00000096526","","1","lincRNA","NULL"
"172","ENSDARG00000113858","","1","protein_coding","NULL"
"173","ENSDARG00000096599","","1","lincRNA","NULL"
"174","ENSDARG00000100771","","1","protein_coding","NULL"
"175","ENSDARG00000079873","SLC29A4","1","protein_coding","solute carrier family 29 member 4 [Source:HGNC Symbol;Acc:HGNC:23097]"
"176","ENSDARG00000079332","","1","lincRNA","NULL"
"177","ENSDARG00000007443","fbxl18","1","protein_coding","F-box and leucine-rich repeat protein 18 [Source:ZFIN;Acc:ZDB-GENE-050913-65]"
"178","ENSDARG00000037746","actb1","1","protein_coding","actin, beta 1 [Source:NCBI gene (formerly Entrezgene);Acc:57934]"
"179","ENSDARG00000037747","","1","protein_coding","NULL"
"180","ENSDARG00000079361","abcg2b","1","protein_coding","ATP-binding cassette, sub-family G (WHITE), member 2b [Source:ZFIN;Acc:ZDB-GENE-050517-36]"
"181","ENSDARG00000012458","hapstr1b","1","protein_coding","HUWE1 associated protein modifying stress responses b [Source:ZFIN;Acc:ZDB-GENE-030131-1107]"
"182","ENSDARG00000070543","","1","protein_coding","NULL"
"183","ENSDARG00000094298","","1","antisense","NULL"
"184","ENSDARG00000089873","socs1b","1","protein_coding","suppressor of cytokine signaling 1b [Source:ZFIN;Acc:ZDB-GENE-090313-141]"
"185","ENSDARG00000093438","","1","lincRNA","NULL"
"186","ENSDARG00000094206","","1","protein_coding","NULL"
"187","ENSDARG00000037758","tlr2","1","protein_coding","toll-like receptor 2 [Source:ZFIN;Acc:ZDB-GENE-040219-6]"
"188","ENSDARG00000008723","prkcba","1","protein_coding","protein kinase C, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1354]"
"189","ENSDARG00000110570","","1","protein_coding","NULL"
"190","ENSDARG00000058460","","1","protein_coding","NULL"
"191","ENSDARG00000088975","","1","protein_coding","NULL"
"192","ENSDARG00000100949","","1","protein_coding","NULL"
"193","ENSDARG00000093053","","1","protein_coding","NULL"
"194","ENSDARG00000058463","ndufab1a","1","protein_coding","NADH:ubiquinone oxidoreductase subunit AB1a [Source:ZFIN;Acc:ZDB-GENE-040801-1]"
"195","ENSDARG00000076716","","1","protein_coding","NULL"
"196","ENSDARG00000058464","rasd3","1","protein_coding","RASD family member 3 [Source:ZFIN;Acc:ZDB-GENE-060818-9]"
"197","ENSDARG00000058471","plk1","1","protein_coding","polo-like kinase 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-021115-7]"
"198","ENSDARG00000096584","","1","antisense","NULL"
"199","ENSDARG00000058475","","1","protein_coding","NULL"
"200","ENSDARG00000080404","U6","1","snRNA","U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]"
"201","ENSDARG00000058480","chtf18","1","protein_coding","CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-508]"
"202","ENSDARG00000024740","gng13a","1","protein_coding","guanine nucleotide binding protein (G protein), gamma 13a [Source:ZFIN;Acc:ZDB-GENE-081022-188]"
"203","ENSDARG00000101597","","1","protein_coding","NULL"
"204","ENSDARG00000058445","zgc:136472","1","protein_coding","zgc:136472 [Source:ZFIN;Acc:ZDB-GENE-060421-2552]"
"205","ENSDARG00000063169","ubn1","1","protein_coding","ubinuclein 1 [Source:ZFIN;Acc:ZDB-GENE-070928-28]"
"206","ENSDARG00000092791","","1","antisense","NULL"
"207","ENSDARG00000037760","uncx4.1","1","protein_coding","Unc4.1 homeobox (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-050714-1]"
"208","ENSDARG00000117314","","1","lincRNA","NULL"
"209","ENSDARG00000017834","micall2b","1","protein_coding","mical-like 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5803]"
"210","ENSDARG00000074282","","1","protein_coding","NULL"
"211","ENSDARG00000074372","ELFN1","1","protein_coding","extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154]"
"212","ENSDARG00000104203","ugt5b5","1","protein_coding","UDP glucuronosyltransferase 5 family, polypeptide B5 [Source:ZFIN;Acc:ZDB-GENE-160628-4]"
"213","ENSDARG00000101495","ugt5b2","1","protein_coding","UDP glucuronosyltransferase 5 family, polypeptide B2 [Source:ZFIN;Acc:ZDB-GENE-100406-4]"
"214","ENSDARG00000091916","ugt5b4","1","protein_coding","UDP glucuronosyltransferase 5 family, polypeptide B4 [Source:ZFIN;Acc:ZDB-GENE-070112-2332]"
"215","ENSDARG00000099276","ugt5b3","1","protein_coding","UDP glucuronosyltransferase 5 family, polypeptide B3 [Source:ZFIN;Acc:ZDB-GENE-100406-5]"
"216","ENSDARG00000104995","ugt5b1","1","protein_coding","UDP glucuronosyltransferase 5 family, polypeptide B1 [Source:ZFIN;Acc:ZDB-GENE-100406-3]"
"217","ENSDARG00000033852","mad1l1","1","protein_coding","mitotic arrest deficient 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1081]"
"218","ENSDARG00000037654","pmm2","1","protein_coding","phosphomannomutase 2 [Source:ZFIN;Acc:ZDB-GENE-030722-6]"
"219","ENSDARG00000037652","ints15","1","protein_coding","integrator complex subunit 15 [Source:ZFIN;Acc:ZDB-GENE-040426-1019]"
"220","ENSDARG00000037646","rgs11","1","protein_coding","regulator of G protein signaling 11 [Source:ZFIN;Acc:ZDB-GENE-080220-46]"
"221","ENSDARG00000032795","pgap6","1","protein_coding","post-glycosylphosphatidylinositol attachment to proteins 6 [Source:ZFIN;Acc:ZDB-GENE-090312-158]"
"222","ENSDARG00000018263","pdia2","1","protein_coding","protein disulfide isomerase family A, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-705]"
"223","ENSDARG00000077542","","1","protein_coding","NULL"
"224","ENSDARG00000070490","","1","protein_coding","NULL"
"225","ENSDARG00000015678","","1","protein_coding","NULL"
"226","ENSDARG00000079043","","1","protein_coding","NULL"
"227","ENSDARG00000076174","","1","protein_coding","NULL"
"228","ENSDARG00000037647","rnf175","1","protein_coding","ring finger protein 175 [Source:ZFIN;Acc:ZDB-GENE-040426-1104]"
"229","ENSDARG00000008969","fgb","1","protein_coding","fibrinogen beta chain [Source:ZFIN;Acc:ZDB-GENE-030131-9261]"
"230","ENSDARG00000020741","fga","1","protein_coding","fibrinogen alpha chain [Source:ZFIN;Acc:ZDB-GENE-031010-21]"
"231","ENSDARG00000104660","","1","protein_coding","NULL"
"232","ENSDARG00000096594","","1","protein_coding","NULL"
"233","ENSDARG00000077652","lratb.2","1","protein_coding","lecithin retinol acyltransferase b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-081022-106]"
"234","ENSDARG00000079452","rbm46","1","protein_coding","RNA binding motif protein 46 [Source:ZFIN;Acc:ZDB-GENE-061013-298]"
"235","ENSDARG00000089943","npy2rl","1","protein_coding","neuropeptide Y receptor Y2, like [Source:ZFIN;Acc:ZDB-GENE-111115-4]"
"236","ENSDARG00000096536","","1","processed_transcript","NULL"
"237","ENSDARG00000077533","eif3f","1","protein_coding","eukaryotic translation initiation factor 3, subunit F [Source:ZFIN;Acc:ZDB-GENE-100215-2]"
"238","ENSDARG00000030563","zgc:77880","1","protein_coding","zgc:77880 [Source:ZFIN;Acc:ZDB-GENE-040426-1901]"
"239","ENSDARG00000026387","pip4p1b","1","protein_coding","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1b [Source:NCBI gene (formerly Entrezgene);Acc:553253]"
